1394	In what country did the game of croquet originate?
1395	Who is Tom Cruise married to?
1396	What is the name of the volcano that destroyed the ancient city of Pompeii?
1397	What was the largest crowd to ever come see Michael Jordan?
1398	What year was Alaska purchased?
1399	What mythical Scottish town appears for one day every 100 years?
1400	When was the telegraph invented?
1401	What is the democratic party symbol?
1402	What year did Wilt Chamberlain score 100 points?
1403	When was the internal combustion engine invented?
1404	How many chromosomes does a human zygote have?
1405	How many ounces are in a gallon?
1406	When did the story of Romeo and Juliet take place?
1407	When did the shootings at Columbine happen?
1408	Which political party is Lionel Jospin a member of?
1409	Which vintage rock and roll singer was known as "The Killer"?
1410	What lays blue eggs?
1411	What Spanish explorer discovered the Mississippi River?
1412	Who is the governor of Colorado?
1413	What river is called "China's Sorrow"?
1414	What was the length of the  Wright brothers' first flight?
1415	Where does the vice president live when in office?
1416	When was Wendy's founded?
1417	Who was the first person to run the mile in less than four minutes?
1418	When was the Rosenberg trial?
1419	What year did Alaska become a state?
1420	How high is Mount Kinabalu?
1421	When did Mike Tyson bite Holyfield's ear?
1422	What two European countries are connected by the St. Gotthard Tunnel under the Alps?
1423	What is a peninsula in the Philippines?
1424	Who won the Oscar for best actor in 1970?
1425	What is the population of Maryland?
1426	Who is the governor of Tennessee?
1427	What was the first spaceship on the moon?
1428	Who won the Nobel Peace Prize in 1992?
1429	What was Andrew Jackson's wife's name?
1430	How old do you have to be to get married in South Carolina?
1431	Who starred in "The Poseidon Adventure"?
1432	Where is Devil's Tower?
1433	What is the height of the tallest redwood?
1434	What site did Lindbergh begin his flight from in 1927?
1435	What nation is home to the Kaaba?
1436	What was the name of Stonewall Jackson's horse?
1437	How many states were still united after the southern states seceded?
1438	What body of water does the Colorado River flow into?
1439	How deep is Crater Lake?
1440	Who was the lead singer for the Commodores?
1441	What is the coldest place on earth?
1442	What is the chemical formula for sulphur dioxide?
1443	When did Bob Marley die?
1444	What female leader succeeded Ferdinand Marcos as president of the Philippines?
1445	When is Snoop Dog's birthday?
1446	How did Mahatma Gandhi die?
1447	What is the capital of Syria?
1448	What is the fear of lightning called?
1449	What college did Magic Johnson attend?
1450	Which U.S. state is the leading corn producer?
1451	Where was the first McDonalds built?
1452	What is the name given to a collection of poetry?1
1453	Where was the first J.C. Penney store opened?
1454	How much money does the U.S. supreme court make?
1455	The Hindenburg disaster took place in 1937 in which New Jersey town?
1456	What is the Keystone State?
1457	Who succeeded Ferdinand Marcos?
1458	What was the name of the high school in "Grease"?
1459	What is one national park in Indiana?
1460	What was the name of the dog in the Thin Man movies?
1461	What country's leader was awarded the 2000 Nobel Peace Prize?
1462	Where is the oldest synagogue in the United States?
1463	What is the North Korean national anthem?
1464	Who is the detective on "Diagnosis Murder"?
1465	What company makes Bentley cars?
1466	How tall is Allen Iverson?
1467	What year did South Dakota become a state?
1468	If something has petrified, what has it turned into?
1469	When did Alexandra Graham Bell invent the telephone?
1470	When did president Herbert Hoover die?
1471	How fast does a cheetah run?
1472	How do you say "house" in Spanish?
1473	When was Lyndon B. Johnson born?
1474	What is the lowest point on earth?
1475	Who was the first person to reach the south pole?
1476	Who was the Roman god of the sea?
1477	What are wavelengths measured in?
1478	What is the name of the heroine in "Gone with the Wind"?
1479	Who composed "The Messiah"?
1480	What is the principle port in Ecuador?
1481	What is the capital city of Algeria?
1482	What county is Wilmington, Delaware in?
1483	Where is the highest point on earth?
1484	What college did Allen Iverson attend?
1485	What is slang for a "five dollar bill"?
1486	Where did Roger Williams, pianist, grow up?
1487	How much are tickets to Disney World?
1488	What is the name of the professional baseball team in Myrtle Beach, South Carolina?
1489	What continent is India on?
1490	What is the Boston Strangler's name?
1491	What was the name of Sherlock Holmes' brother?
1492	How old was Nolan Ryan when he retired?
1493	When was Davy Crockett born?
1494	Who wrote "East is east, west is west and never the twain shall meet"?
1495	How did Molly Shannon's mother die?
1496	What country is Berlin in?
1497	What was the original name before "The Star Spangled Banner"?
1498	What school did Emmitt Smith go to?
1499	Which African country's major export is coffee?
1500	Where is Georgetown University?
1501	How much of U.S. power is from nuclear energy?
1502	What year was President Kennedy killed?
1503	What is the world's second largest island?
1504	Where is the Salton Sea?
1505	What is the currency used in China?
1506	What's the name of King Arthur's sword?
1507	What is the national anthem in England?
1508	What was Dale Evans' horse's name?
1509	What is Frank Sinatra's nickname?
1510	Where is Anne Frank's diary?
1511	Who said "Music hath charm to soothe the savage beast"?
1512	What is the age of our solar system?
1513	What is the current population in Bombay, India?
1514	What is Canada's most populous city?
1515	What was Dr. Seuss' real name?
1516	What does CPR stand for?
1517	What is the state bird of Alaska?
1518	What year did Marco Polo travel to Asia?
1519	Where was Hans Christian Anderson born?
1520	What is the capital of Kentucky?
1521	What year did Ellis Island open its doors to immigrants?
1522	What are the headpieces called that the Saudi Arabians wear?
1523	What percent of the U.S. is African American?
1524	What is the name of the ballpark that the Milwaukee Brewers play at?
1525	What university did Thomas Jefferson found?
1526	What is the city of brotherly love?
1527	When did the 6-day war begin?
1528	Where did Kublai Khan live?
1529	What is the oldest college bowl game?
1530	What is the capital city of New Zealand?
1531	What does NASDAQ stand for?
1532	What is the literacy rate in Cuba?
1533	Who directed the film "Fail Safe"?
1534	The sun is mostly made up of what two gasses?
1535	Who painted "Sunflowers"?
1536	What city is Lake Washington by?
1537	How many electoral college votes in Tennessee?
1538	Who is the evil H.R. Director in "Dilbert"?
1539	What is Ronald Reagan's favorite candy?
1540	What is the deepest lake in America?
1541	What president is on a quarter?
1542	Where is Hill Air Force Base?
1543	How tall was Judy Garland?
1544	What is the most populated country in the world?
1545	What is a female rabbit called?
1546	What year was the movie "Ole Yeller" made?
1547	What is the atomic number of uranium?
1548	What was the first name of the Gehrig who played for the New York Yankees?
1549	What year was the PC invented?
1550	What is the southwestern-most tip of England?
1551	What does DNA stand for?
1552	What did Charles Babbage invent?
1553	Who makes Magic Chef refrigerators?
1554	What is the scientific name for tobacco?
1555	When was the Tet offensive in Vietnam?
1556	What cemetery is Thurgood Marshall buried in?
1557	What was the first satellite in space?
1558	How much does it cost to register a car in New Hampshire?
1559	Where did Dr. King give his speech in Washington?
1560	What was Denzel Washington's first television series?
1561	When was the first patent filed on the ice cream cone?
1562	Where did the U.S. Civil War begin?
1563	Who started the Protestant reformation?
1564	When did Led Zeppelin appear on BBC?
1565	What is Karl Malone's nickname?
1566	What famous Spanish poet died in Spain's Civil War?
1567	When did the Black Panther party start in California?
1568	How old was George Washington when he died?
1569	When did the Vietnam War end?
1570	What is the legal age to vote in Argentina?
1571	How much copper is in a penny?
1572	For whom was the state of Pennsylvania named?
1573	Who is the head of the FBI?
1574	When did "The Simpsons" first appear on television?
1575	What is the degree of tilt of Earth?
1576	What galaxy is closest to the milky way?
1577	What Burns poem does "the best laid plans of mice and men" come from?
1578	How tall is the Sphinx?
1579	Which country exports the most tea?
1580	What name is given to the science of map-making?
1581	What anniversary is the 20th?
1582	How high is a hand?
1583	What is the text of an opera called?
1584	When did George W. Bush get elected as the governor of Texas?
1585	What is the chief religion for Peru?
1586	When did the Golden Gate Bridge get finished?
1587	What did Sherlock Holmes call the street gang that helped him crack cases?
1588	When was Apollo 11 launched?
1589	Who was the only golfer to win the U.S. and British Opens and amateurs in the same year?
1590	What do grasshoppers eat?
1591	What percentage of the population is left handed?
1592	When was the Reichstag burned down?
